Price,Close,Close,Close,Close,Close,Dividends,Dividends,Dividends,Dividends,Dividends,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-28 13:30:00+00:00,268.6499938964844,226.52000427246094,268.0199890136719,747.3499755859375,1109.0301513671875,0.0,0.0,0.0,0.0,0.0,269.8699951171875,228.58999633789062,271.3800048828125,758.3900146484375,1116.9798583984375,268.25,226.2100067138672,267.5299987792969,747.0001220703125,1093.00830078125,269.135009765625,228.22000122070312,269.989990234375,752.989990234375,1094.02001953125,0.0,0.0,0.0,0.0,0.0,11832766,10054295,5376066,3103414,1299551
2025-10-28 14:30:00+00:00,268.69720458984375,227.5500030517578,268.0,754.3499755859375,1103.260009765625,0.0,0.0,0.0,0.0,0.0,269.1400146484375,227.8800048828125,268.4671936035156,754.7000122070312,1109.19580078125,268.1499938964844,226.25,267.2200012207031,745.5200805664062,1101.0,268.6423034667969,226.52999877929688,268.0199890136719,747.3400268554688,1109.0301513671875,0.0,0.0,0.0,0.0,0.0,3550384,4415312,2329834,1786041,427178
2025-10-28 15:30:00+00:00,268.9949951171875,229.11000061035156,267.739990234375,751.9650268554688,1101.296142578125,0.0,0.0,0.0,0.0,0.0,269.0758056640625,229.22999572753906,268.1600036621094,754.7000122070312,1103.280029296875,268.3500061035156,227.14999389648438,267.1700134277344,750.5599975585938,1098.110107421875,268.69500732421875,227.5399932861328,267.9905090332031,754.375,1103.280029296875,0.0,0.0,0.0,0.0,0.0,2758052,6774729,1805470,1290682,318734
2025-10-28 16:30:00+00:00,269.4949951171875,230.69000244140625,268.772705078125,756.1099853515625,1103.755126953125,0.0,0.0,0.0,0.0,0.0,269.8699951171875,230.7899932861328,268.9104919433594,756.2100219726562,1105.6199951171875,268.82000732421875,228.63040161132812,267.4200134277344,750.7999877929688,1098.5999755859375,268.9800109863281,229.11000061035156,267.75,752.0700073242188,1101.2900390625,0.0,0.0,0.0,0.0,0.0,3503864,6313749,2182660,1305274,368228
2025-10-28 17:30:00+00:00,269.0902099609375,230.05239868164062,268.831787109375,754.802978515625,1109.5,0.0,0.0,0.0,0.0,0.0,269.4949951171875,231.48500061035156,269.05999755859375,756.6500244140625,1110.7900390625,268.79998779296875,229.38999938964844,268.5,754.2000122070312,1103.699951171875,269.4949951171875,230.69000244140625,268.7528991699219,756.0549926757812,1103.699951171875,0.0,0.0,0.0,0.0,0.0,3181670,6155117,1509673,829164,391136
2025-10-28 18:30:00+00:00,269.20001220703125,230.368896484375,268.739990234375,753.7349853515625,1107.6800537109375,0.0,0.0,0.0,0.0,0.0,269.44000244140625,230.5299072265625,268.8900146484375,755.6798706054688,1111.4898681640625,268.7799987792969,229.77000427246094,268.0,752.0,1102.280029296875,269.1050109863281,230.05999755859375,268.8299865722656,754.9500122070312,1109.3900146484375,0.0,0.0,0.0,0.0,0.0,4120349,3526028,1566796,983474,431355
2025-10-28 19:30:00+00:00,269.0299987792969,229.24000549316406,268.44000244140625,751.3699951171875,1102.510009765625,0.0,0.0,0.0,0.0,0.0,269.3550109863281,230.44500732421875,268.8999938964844,753.6799926757812,1107.9100341796875,268.6000061035156,228.57000732421875,268.0899963378906,750.7999877929688,1102.0,269.20001220703125,230.35499572753906,268.75,753.6799926757812,1107.6600341796875,0.0,0.0,0.0,0.0,0.0,5339653,4917812,2616932,1428081,448157
2025-10-29 13:30:00+00:00,270.4200134277344,229.1300048828125,269.9599914550781,750.1400146484375,1106.4300537109375,0.0,0.0,0.0,0.0,0.0,271.4100036621094,232.80999755859375,270.9599914550781,759.155029296875,1108.22998046875,268.70001220703125,227.75999450683594,268.42999267578125,745.1400146484375,1096.0,269.2749938964844,231.6719970703125,268.6050109863281,754.75,1099.0999755859375,0.0,0.0,0.0,0.0,0.0,10209230,14210522,4212983,4227356,778803
2025-10-29 14:30:00+00:00,267.6300048828125,230.53500366210938,271.239990234375,748.5,1102.2301025390625,0.0,0.0,0.0,0.0,0.0,270.44500732421875,231.2949981689453,271.7749938964844,750.77001953125,1107.5,267.51220703125,228.86000061035156,269.6000061035156,746.5,1098.0,270.4100036621094,229.1199951171875,269.9700012207031,750.1500244140625,1106.530029296875,0.0,0.0,0.0,0.0,0.0,6247839,7059244,2694614,1656392,351267
2025-10-29 15:30:00+00:00,268.6199951171875,231.3679962158203,272.6050109863281,750.469970703125,1103.510009765625,0.0,0.0,0.0,0.0,0.0,268.8599853515625,231.61000061035156,273.1499938964844,751.9400024414062,1104.5499267578125,267.1099853515625,230.33999633789062,271.1600036621094,747.510009765625,1101.3499755859375,267.6099853515625,230.52999877929688,271.25,748.4099731445312,1102.2301025390625,0.0,0.0,0.0,0.0,0.0,4595121,5603630,2126909,1210653,215873
2025-10-29 16:30:00+00:00,269.93011474609375,230.3721923828125,272.8699951171875,749.5700073242188,1098.969970703125,0.0,0.0,0.0,0.0,0.0,269.93011474609375,231.4199981689453,272.980712890625,750.9400024414062,1103.780029296875,268.4700927734375,230.02999877929688,272.30999755859375,747.77001953125,1096.8199462890625,268.6029968261719,231.3800048828125,272.6000061035156,750.2999877929688,1103.3695068359375,0.0,0.0,0.0,0.0,0.0,3066081,3093822,1489061,1095721,315000
2025-10-29 17:30:00+00:00,270.80999755859375,229.69000244140625,273.9400939941406,748.5050048828125,1102.739990234375,0.0,0.0,0.0,0.0,0.0,270.8500061035156,230.43099975585938,274.1199951171875,749.8099975585938,1103.669921875,269.7900085449219,228.58999633789062,272.8399963378906,746.989990234375,1097.724609375,269.8900146484375,230.3699951171875,272.8699035644531,749.4000244140625,1098.5799560546875,0.0,0.0,0.0,0.0,0.0,4963178,4626812,2202197,1077386,266108
2025-10-29 18:30:00+00:00,268.30999755859375,228.86000061035156,273.7160949707031,747.5999755859375,1099.0999755859375,0.0,0.0,0.0,0.0,0.0,270.92999267578125,230.1199951171875,274.3999938964844,750.2000122070312,1103.7249755859375,268.260009765625,228.1300048828125,271.8800048828125,742.510009765625,1097.25,270.7850036621094,229.7220001220703,274.010009765625,748.4500122070312,1102.3800048828125,0.0,0.0,0.0,0.0,0.0,5156103,5801484,3123174,2369938,261804
2025-10-29 19:30:00+00:00,269.7300109863281,230.33999633789062,275.8299865722656,752.0,1100.3900146484375,0.0,0.0,0.0,0.0,0.0,270.3800048828125,230.6199951171875,275.9200134277344,755.5999755859375,1102.5999755859375,267.79998779296875,228.32000732421875,273.55499267578125,746.1799926757812,1097.592529296875,268.32000732421875,228.8300018310547,273.70001220703125,747.7849731445312,1099.35986328125,0.0,0.0,0.0,0.0,0.0,4325904,4490640,3193325,2625240,587656
2025-10-30 13:30:00+00:00,269.0899963378906,226.67999267578125,289.6650085449219,661.510009765625,1100.06005859375,0.0,0.0,0.0,0.0,0.0,274.1400146484375,228.0,291.8999938964844,672.0,1106.1300048828125,268.989990234375,223.9499969482422,280.45001220703125,650.1699829101562,1089.3599853515625,271.989990234375,226.87249755859375,291.8699951171875,668.75,1094.5,0.0,0.0,0.0,0.0,0.0,8387840,11757958,14223409,23436265,532362
2025-10-30 14:30:00+00:00,270.7900085449219,227.9600067138672,289.0,662.9299926757812,1092.712158203125,0.0,0.0,0.0,0.0,0.0,271.1700134277344,228.42999267578125,290.67138671875,665.469970703125,1100.989990234375,268.4800109863281,226.51010131835938,287.7099914550781,652.47998046875,1090.9749755859375,269.0899963378906,226.6699981689453,289.6199951171875,661.510009765625,1100.1500244140625,0.0,0.0,0.0,0.0,0.0,3886744,5014252,3980811,9078508,255374
2025-10-30 15:30:00+00:00,272.010009765625,226.1199951171875,286.69000244140625,677.9500122070312,1095.4344482421875,0.0,0.0,0.0,0.0,0.0,272.3900146484375,227.97999572753906,290.5899963378906,679.8499755859375,1096.0,270.2630920410156,225.85000610351562,286.3500061035156,661.530029296875,1089.8199462890625,270.7799987792969,227.9499969482422,289.04998779296875,662.9400024414062,1092.469970703125,0.0,0.0,0.0,0.0,0.0,3869786,4608564,3003521,7065601,238272
