Price,Close,Close,Close,Close,Close,Dividends,Dividends,Dividends,Dividends,Dividends,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-09 13:30:00+00:00,254.97999572753906,222.6999969482422,242.41000366210938,719.6900024414062,1229.93994140625,0.0,0.0,0.0,0.0,0.0,257.3599853515625,224.06500244140625,244.85000610351562,719.989990234375,1232.114990234375,254.8090057373047,221.8699951171875,242.10000610351562,713.27001953125,1212.56005859375,257.3299865722656,224.00999450683594,244.5800018310547,718.5399780273438,1213.1300048828125,0.0,0.0,0.0,0.0,0.0,8612385,10710625,5015274,2955374,803095
2025-10-09 14:30:00+00:00,254.89500427246094,223.10000610351562,240.46499633789062,719.4031982421875,1227.199951171875,0.0,0.0,0.0,0.0,0.0,255.1199951171875,223.10000610351562,241.46279907226562,719.8200073242188,1229.989990234375,254.57009887695312,221.85000610351562,240.3699951171875,717.010009765625,1227.1600341796875,254.5800018310547,222.11000061035156,241.3000030517578,717.5198974609375,1229.7449951171875,0.0,0.0,0.0,0.0,0.0,4441161,5438165,4216186,1519280,329218
2025-10-09 15:30:00+00:00,253.84500122070312,224.16299438476562,241.72000122070312,727.5800170898438,1230.97998046875,0.0,0.0,0.0,0.0,0.0,254.61000061035156,224.3699951171875,242.1300048828125,728.7979736328125,1231.969970703125,253.8260955810547,223.13999938964844,239.80099487304688,723.1699829101562,1227.9000244140625,254.47000122070312,223.2949981689453,240.3249969482422,723.5499877929688,1230.3800048828125,0.0,0.0,0.0,0.0,0.0,4409804,4286832,1908924,1857658,184395
2025-10-09 16:30:00+00:00,253.4575958251953,223.86000061035156,241.50999450683594,726.1799926757812,1235.5799560546875,0.0,0.0,0.0,0.0,0.0,254.00999450683594,224.44000244140625,242.02000427246094,727.385009765625,1235.5799560546875,253.2030029296875,223.56500244140625,241.50999450683594,724.9000854492188,1230.6199951171875,253.8800048828125,224.2899932861328,241.88499450683594,726.5750122070312,1230.6199951171875,0.0,0.0,0.0,0.0,0.0,2710789,2718786,898451,1148043,457057
2025-10-09 17:30:00+00:00,253.55999755859375,226.27000427246094,241.28500366210938,730.280029296875,1232.0008544921875,0.0,0.0,0.0,0.0,0.0,253.72999572753906,226.27000427246094,241.50999450683594,730.4760131835938,1236.5,253.41009521484375,223.89999389648438,241.04440307617188,727.4019775390625,1232.0001220703125,253.72999572753906,223.89999389648438,241.27999877929688,727.6295166015625,1236.300048828125,0.0,0.0,0.0,0.0,0.0,2363786,5200414,1187531,1144250,157293
2025-10-09 18:30:00+00:00,253.89999389648438,227.0449981689453,241.75999450683594,730.5701293945312,1236.2501220703125,0.0,0.0,0.0,0.0,0.0,254.08999633789062,227.0449981689453,241.8300018310547,732.3499755859375,1237.125,253.41000366210938,226.07000732421875,241.26950073242188,728.989990234375,1234.364990234375,253.44000244140625,226.13999938964844,241.33999633789062,729.0997924804688,1234.364990234375,0.0,0.0,0.0,0.0,0.0,3949781,6205429,849459,1047876,245646
2025-10-09 19:30:00+00:00,253.97999572753906,227.6199951171875,241.64999389648438,733.1199951171875,1232.489990234375,0.0,0.0,0.0,0.0,0.0,254.27000427246094,228.10000610351562,241.87860107421875,733.239990234375,1235.0,253.63999938964844,226.6118927001953,241.59500122070312,731.8250122070312,1231.8399658203125,253.69000244140625,226.71499633789062,241.7449951171875,731.8250122070312,1234.7650146484375,0.0,0.0,0.0,0.0,0.0,3200147,5519724,981677,1092659,291366
2025-10-10 13:30:00+00:00,255.17999267578125,226.54879760742188,243.5,732.4949951171875,1244.5999755859375,0.0,0.0,0.0,0.0,0.0,256.29290771484375,227.61000061035156,244.4600067138672,733.2000122070312,1244.9300537109375,254.8800048828125,225.99000549316406,242.6999969482422,727.7000122070312,1235.1639404296875,255.32000732421875,226.5500030517578,243.07000732421875,731.4019775390625,1238.6300048828125,0.0,0.0,0.0,0.0,0.0,7963458,9540805,3213099,2829601,690585
2025-10-10 14:30:00+00:00,249.41000366210938,220.52000427246094,239.23959350585938,714.7200927734375,1237.947509765625,0.0,0.0,0.0,0.0,0.0,255.3000030517578,227.3300018310547,243.61000061035156,731.760009765625,1244.22998046875,248.9499969482422,219.49000549316406,239.23959350585938,713.5999755859375,1236.9600830078125,255.1999969482422,226.52000427246094,243.61000061035156,730.8699951171875,1242.550048828125,0.0,0.0,0.0,0.0,0.0,9992812,13065216,3546130,2384293,693137
2025-10-10 15:30:00+00:00,248.61000061035156,220.16000366210938,239.43719482421875,716.2650146484375,1240.08642578125,0.0,0.0,0.0,0.0,0.0,249.6649932861328,221.38720703125,239.95399475097656,717.0900268554688,1245.510009765625,247.75999450683594,219.47999572753906,238.16000366210938,710.8001098632812,1233.4300537109375,249.0399932861328,220.2198944091797,238.97999572753906,712.9099731445312,1234.10498046875,0.0,0.0,0.0,0.0,0.0,6989327,12530275,3543492,2277858,415389
2025-10-10 16:30:00+00:00,247.80999755859375,219.02000427246094,239.5,712.1500244140625,1229.8411865234375,0.0,0.0,0.0,0.0,0.0,249.05999755859375,220.63999938964844,239.81500244140625,717.672119140625,1242.613037109375,247.05999755859375,217.610107421875,237.7899932861328,708.8800048828125,1227.02001953125,248.58999633789062,220.1300048828125,239.44000244140625,716.2587890625,1240.0699462890625,0.0,0.0,0.0,0.0,0.0,4394995,6764811,2584076,1517887,414700
2025-10-10 17:30:00+00:00,247.16000366210938,218.61000061035156,239.99000549316406,710.7974853515625,1226.6641845703125,0.0,0.0,0.0,0.0,0.0,248.57000732421875,219.67990112304688,240.5749969482422,714.4099731445312,1233.75,247.0800018310547,218.5626983642578,239.21499633789062,709.7150268554688,1225.06005859375,247.77000427246094,219.00999450683594,239.49000549316406,712.0599975585938,1229.75,0.0,0.0,0.0,0.0,0.0,4882982,5011244,1483299,1366838,304416
2025-10-10 18:30:00+00:00,246.1649932861328,217.80299377441406,238.6999969482422,709.469970703125,1226.65283203125,0.0,0.0,0.0,0.0,0.0,247.30999755859375,218.9600067138672,240.1300048828125,712.969970703125,1229.3199462890625,245.81500244140625,217.61000061035156,238.34010314941406,708.9199829101562,1223.3399658203125,247.13710021972656,218.63999938964844,239.96499633789062,711.0,1226.5550537109375,0.0,0.0,0.0,0.0,0.0,5426839,5638185,1459912,1243149,458893
2025-10-10 19:30:00+00:00,245.27999877929688,216.17999267578125,237.53500366210938,705.4299926757812,1220.0799560546875,0.0,0.0,0.0,0.0,0.0,246.99000549316406,218.02999877929688,238.8300018310547,710.5599975585938,1227.0400390625,244.57000732421875,216.14999389648438,236.68499755859375,704.6099853515625,1219.0999755859375,246.1699981689453,217.7899932861328,238.8000030517578,709.4998168945312,1227.0400390625,0.0,0.0,0.0,0.0,0.0,8519891,9161418,3205652,2353506,570564
2025-10-13 13:30:00+00:00,246.37600708007812,220.11000061035156,241.6300048828125,716.6500244140625,1227.360107421875,0.0,0.0,0.0,0.0,0.0,249.49000549316406,220.42999267578125,243.17999267578125,719.9400024414062,1231.1199951171875,245.55999755859375,217.0399932861328,240.75,707.6412963867188,1206.81005859375,249.3800048828125,217.6999969482422,240.97000122070312,713.010009765625,1221.9300537109375,0.0,0.0,0.0,0.0,0.0,9359382,11916565,3137872,3474259,591757
2025-10-13 14:30:00+00:00,248.59030151367188,220.16000366210938,242.94000244140625,713.8599853515625,1223.1650390625,0.0,0.0,0.0,0.0,0.0,248.65989685058594,220.5399932861328,243.25999450683594,718.4149780273438,1230.9898681640625,246.22999572753906,218.69000244140625,240.91000366210938,708.0800170898438,1219.27001953125,246.3699951171875,220.10000610351562,241.5850067138672,716.64501953125,1227.3599853515625,0.0,0.0,0.0,0.0,0.0,5816790,5313426,1431030,1424938,243480
2025-10-13 15:30:00+00:00,249.17999267578125,220.1699981689453,243.54600524902344,714.0999755859375,1224.1949462890625,0.0,0.0,0.0,0.0,0.0,249.6199951171875,220.6699981689453,243.8000030517578,714.75,1226.25,248.36000061035156,219.89999389648438,242.72999572753906,711.7100219726562,1220.300048828125,248.6199951171875,220.1697998046875,242.89999389648438,714.0,1223.81005859375,0.0,0.0,0.0,0.0,0.0,3115587,3478186,1096593,621689,187927
